6.25758	29.337
6.32582	33.172
6.39333	36
6.45983	36.116
6.50594	41.923
6.5406	42.998
6.59349	45.455
6.65115	47.098
6.66074	47.982
6.67346	49.236
6.69545	44.786
6.71916	43.48
6.74831	47.48
6.79301	47.433
6.84185	48.28
6.89494	50.337
6.94807	52
6.99851	52.42
7.04534	53.998
7.08521	57.685
7.12549	57.998
7.16511	52.481
7.21146	52.001
7.2556	53.672
7.29168	61.484
7.32921	62.005
7.3642	62.918
7.40053	63.004
7.43512	62.999
7.46716	64.833
7.50048	65.898
7.53225	65.998
7.5688	62.428
7.60354	62
7.64253	62.002
7.67851	61.998
7.71176	61.998
7.74095	63.717
7.76812	64.001
7.80053	64.001
7.83228	64.002
7.86206	64.739
7.89245	65.826
7.92285	66.855
7.95467	65.15
7.98551	64.999
8.00654	65.809
